Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points
164,Jacqueline Melgard,1,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Luciana Menk,1,43.84,0.0,43.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Elizabeth Gracie,1,43.55,0.0,43.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Elena Munger,1,43.48,0.0,0.0,0.0,0.0,43.48,0.0,0.0,0.0,0.0
168,Maija Johansen,1,43.42,0.0,0.0,0.0,0.0,0.0,43.42,0.0,0.0,0.0
169,Diane Schaaf,1,43.4,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Lisa Boulay,1,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
171,Esther Kaufman,2,43.0,0.0,23.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
172,Sarah Newmister,1,42.86,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0
173,Alaina Patnode,1,42.47,0.0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Kate Schmelzer,1,42.11,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0
175,Lillian Schulte,2,41.88,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,21.88
176,Anna Kudak,1,40.79,0.0,0.0,0.0,0.0,0.0,40.79,0.0,0.0,0.0
177,Ella Lagree,1,40.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.63
178,Kathryn Brown,2,40.59,20.59,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
179,Zoe Boock,2,40.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
180,Yao Buchl,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
181,Wren Saveraid,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
182,Stella Meza,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
183,Stella Christensen,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
184,Sophia House,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
185,Sophia Hebert,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
186,Savannah Krull,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
187,Quinn Schollett,2,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
188,Patricia Bohaty,2,40.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
189,Paige Larson,2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
190,Nicole Moen,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
191,Nicole Eliasson,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
192,Miranda Lindaman,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
193,Mia Elvecrog,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
194,Mckenna Karel,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
195,Mary Mckelvey,2,40.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
196,Maria Hanson,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
197,Macie Wenning,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
198,Lori Seele,2,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
199,Lindsay Peters,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
200,Lily Thatcher,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
201,Lillie Hokanson,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
202,Liana Teter,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
203,Laura Johnson,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
