Name,Overall Place,Number of Events,Skadi's Chase Points,Hiihto Relay Points,First Chance Points,LL Challenge Points,Mount Ashwabay Points,City of Lakes Loppet Points,Vasaloppet Points,Pepsi Challenge Points,Ski North Ultra Points,Series Points
Ryan Pewowaruk,229,1,0.0,0.0,0.0,0.0,0.0,72.9,0.0,0.0,0.0,72.9
Patrick Johnson,230,2,0.0,0.0,0.0,0.0,52.83,0.0,20.0,0.0,0.0,72.83
Steve Edling,231,2,0.0,0.0,0.0,0.0,52.42,0.0,20.0,0.0,0.0,72.42
Alexander Cross,232,1,0.0,0.0,0.0,0.0,0.0,72.14,0.0,0.0,0.0,72.14
Grady Kerr,233,2,0.0,0.0,0.0,0.0,0.0,0.0,51.97,20.0,0.0,71.97
Nick Swanson,234,1,0.0,0.0,0.0,0.0,0.0,71.76,0.0,0.0,0.0,71.76
Isaac Mccarty,235,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,51.43,0.0,71.43
Robert Dorfner,236,1,0.0,0.0,0.0,0.0,0.0,71.37,0.0,0.0,0.0,71.37
Jake Mccusker,237,1,0.0,0.0,0.0,0.0,0.0,0.0,71.05,0.0,0.0,71.05
Alex Reich,238,1,0.0,71.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.05
Dustin Dale,239,1,0.0,0.0,0.0,0.0,70.83,0.0,0.0,0.0,0.0,70.83
Dan Westerhaus,240,1,0.0,0.0,0.0,0.0,0.0,70.61,0.0,0.0,0.0,70.61
William Dezelar,241,1,0.0,0.0,0.0,0.0,0.0,70.16,0.0,0.0,0.0,70.16
Steve Eberly,242,2,0.0,20.0,0.0,50.11,0.0,0.0,0.0,0.0,0.0,70.11
John Linden,243,2,0.0,0.0,49.77,0.0,0.0,0.0,20.0,0.0,0.0,69.77
Adam Kerr,244,1,0.0,0.0,0.0,0.0,0.0,0.0,69.74,0.0,0.0,69.74
Jason Mooty,245,1,0.0,0.0,0.0,0.0,0.0,69.47,0.0,0.0,0.0,69.47
Elijah Daniels,246,1,0.0,0.0,0.0,0.0,0.0,0.0,69.08,0.0,0.0,69.08
Bill Stuber,247,2,0.0,20.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,69.0
Per Nelson,248,1,0.0,0.0,0.0,68.96,0.0,0.0,0.0,0.0,0.0,68.96
Michael McPherson,249,1,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,68.75
Liam Caputo-Sullivan,250,1,0.0,0.0,0.0,68.52,0.0,0.0,0.0,0.0,0.0,68.52
Noah Rudi,251,1,0.0,0.0,0.0,0.0,0.0,0.0,68.42,0.0,0.0,68.42
Mathew Land,252,1,0.0,68.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42
William Lindell,253,1,0.0,0.0,0.0,0.0,0.0,67.73,0.0,0.0,0.0,67.73
Mark Edwards,254,2,0.0,0.0,0.0,0.0,0.0,47.71,20.0,0.0,0.0,67.71
Landon Brodersen,255,1,0.0,0.0,0.0,0.0,0.0,0.0,67.11,0.0,0.0,67.11
